city,latitude,longitude,weather,temperature,wind
北京,39.9042,116.4074,晴,2,≤3
曼谷,13.7367,100.5233,阴,20,≤3
巴黎,48.8566,2.3522,阴,10,≤3
莫斯科,55.7558,37.6176,阴,-1,≤3
纽约,40.7128,-74.0059,阴,6,≤3
西安,34.2608,108.9482,多云,5,≤3
伦敦,51.5074,-0.1278,晴,22,≤3
乌鲁木齐,43.8256,87.6168,雾,-5,≤3
悉尼,-33.8675,151.2069,雾,11,4
合肥,31.8167,117.2833,小雨,6,≤3
南宁,22.8159,108.3669,晴,20,≤3
昆明,25.0383,102.7189,晴,12,≤3
柏林,52.5200,13.4050,多云,-8,≤3
拉萨,29.6519,91.1321,晴,14,≤3
哈尔滨,45.8038,126.534,多云,-9,≤3
呼和浩特,40.8421,111.7499,多云,1,≤3
上海,31.2304,121.4737,阴,13,≤3
广州,23.1291,113.2644,晴,26,≤3
洛杉矶,34.0522,-118.2437,多云,21,≤3
东京,35.6895,139.6917,晴,26,≤3
首尔,37.5665,126.978,雾,11,≤3
成都,30.6667,104.0833,阴,14,4
